iter	RMSE
0	3762.24498
1	3456.524571
2	3178.352841
3	2930.426246
4	2709.991418
5	2515.139797
6	2342.57957
7	2185.764953
8	2051.101739
9	1923.752104
10	1800.342905
11	1695.144755
12	1609.166886
13	1533.389803
14	1457.528756
15	1392.033232
16	1324.661436
17	1269.054558
18	1223.348668
19	1180.32778
20	1143.110233
21	1105.749383
22	1072.036061
23	1037.806792
24	1011.468042
25	987.8546521
26	966.4891732
27	945.0404006
28	920.8617876
29	897.2499166
30	881.8156323
31	869.1922046
32	852.3981831
33	842.1198354
34	833.8378871
35	823.7928062
36	815.5784422
37	809.6265334
38	799.9406192
39	793.1846441
40	784.9878545
41	777.1017949
42	770.4739984
43	760.4161839
44	750.6869596
45	746.8957276
46	740.9196641
47	733.7486889
48	728.6694044
49	723.8937149
50	720.9471486
51	717.6812621
52	711.4543682
53	708.1813827
54	702.2012065
55	697.7542481
56	694.8027317
57	692.2485508
58	685.567365
59	682.4743779
60	675.3154165
61	670.5604617
62	667.5716871
63	662.5333706
64	658.8535804
65	655.4032011
66	652.6799019
67	650.6482144
68	647.9193627
69	644.8464395
70	642.4797924
71	639.7811317
72	637.2427596
73	634.271801
74	631.7972065
75	630.1191627
76	628.7482843
77	626.8509956
78	624.9605993
79	622.832351
80	621.2331662
81	620.0059215
82	618.2112527
83	616.5546126
84	615.1305825
85	612.8137367
86	608.8007112
87	606.8935359
88	604.6774208
89	603.0886058
90	601.8176787
91	599.6934389
92	598.2503223
93	595.8453922
94	594.6355491
95	592.6958293
96	589.2520068
97	587.8134951
98	586.4809818
99	585.018233
